subject_id,class,rank,feature,coefficient,abs_coefficient
211-000539,NEUTRO,11,AF7_Alpha,0.22522661089897156,0.22522661089897156
211-000539,NEUTRO,12,Fp2_Beta,0.20490039885044098,0.20490039885044098
211-000539,NEUTRO,13,T7_Beta,-0.1944567859172821,0.1944567859172821
211-000539,NEUTRO,14,AlphaAsym_PO6-PO5,0.18622881174087524,0.18622881174087524
211-000539,NEUTRO,15,Fpz_Beta,0.17933383584022522,0.17933383584022522
211-000539,SAD,1,C6_Beta,0.6663573980331421,0.6663573980331421
211-000539,SAD,2,C5_Beta,0.6315662264823914,0.6315662264823914
211-000539,SAD,3,AF8_Beta,0.5643612742424011,0.5643612742424011
211-000539,SAD,4,AlphaAsym_C6-C5,0.4332032799720764,0.4332032799720764
211-000539,SAD,5,PO3_Beta,0.41470596194267273,0.41470596194267273
211-000539,SAD,6,P4_Alpha,0.31879082322120667,0.31879082322120667
211-000539,SAD,7,Fpz_Beta,-0.3031224310398102,0.3031224310398102
211-000539,SAD,8,FC1_Beta,-0.28547942638397217,0.28547942638397217
211-000539,SAD,9,C4_Beta,0.27624937891960144,0.27624937891960144
211-000539,SAD,10,PO4_Alpha,0.20572203397750854,0.20572203397750854
211-000539,SAD,11,AF7_Beta,0.1803179681301117,0.1803179681301117
211-000539,SAD,12,FC4_Alpha,0.17838820815086365,0.17838820815086365
211-000539,SAD,13,O1_Alpha,0.1781473457813263,0.1781473457813263
211-000539,SAD,14,AlphaAsym_CP4-CP3,-0.17550982534885406,0.17550982534885406
211-000539,SAD,15,Cz_Alpha,-0.13335201144218445,0.13335201144218445
211-000540,JOY,1,AF7_Beta,-0.6155639290809631,0.6155639290809631
211-000540,JOY,2,CP3_Beta,-0.30164432525634766,0.30164432525634766
211-000540,JOY,3,AF7_Alpha,-0.284575492143631,0.284575492143631
211-000540,JOY,4,T7_Beta,-0.27921509742736816,0.27921509742736816
211-000540,JOY,5,F5_Beta,-0.25042200088500977,0.25042200088500977
211-000540,JOY,6,CP6_Beta,-0.23368944227695465,0.23368944227695465
211-000540,JOY,7,T8_Beta,-0.19661782681941986,0.19661782681941986
211-000540,JOY,8,AF4_Beta,0.18729473650455475,0.18729473650455475
211-000540,JOY,9,FT7_Beta,-0.18045535683631897,0.18045535683631897
211-000540,JOY,10,P8_Beta,-0.12726889550685883,0.12726889550685883
211-000540,JOY,11,F3_Alpha,-0.11581719666719437,0.11581719666719437
211-000540,JOY,12,P2_Alpha,-0.09093116968870163,0.09093116968870163
211-000540,JOY,13,F3_Beta,-0.07584825158119202,0.07584825158119202
211-000540,JOY,14,CP3_Alpha,-0.058615732938051224,0.058615732938051224
211-000540,JOY,15,T8_Alpha,-0.0583578422665596,0.0583578422665596
211-000540,NEUTRO,1,FT7_Beta,0.5616462826728821,0.5616462826728821
211-000540,NEUTRO,2,FC5_Beta,0.41852694749832153,0.41852694749832153
211-000540,NEUTRO,3,Fp2_Beta,0.4042229950428009,0.4042229950428009
211-000540,NEUTRO,4,TP7_Beta,0.3278781771659851,0.3278781771659851
211-000540,NEUTRO,5,O2_Beta,-0.31067439913749695,0.31067439913749695
211-000540,NEUTRO,6,AlphaAsym_TP8-TP7,-0.3091566562652588,0.3091566562652588
211-000540,NEUTRO,7,PO4_Beta,-0.3049263656139374,0.3049263656139374
211-000540,NEUTRO,8,T7_Beta,0.2658103108406067,0.2658103108406067
211-000540,NEUTRO,9,FT7_Alpha,0.17282362282276154,0.17282362282276154
211-000540,NEUTRO,10,F3_Beta,0.1388406753540039,0.1388406753540039
211-000540,NEUTRO,11,F1_Beta,-0.11659310013055801,0.11659310013055801
211-000540,NEUTRO,12,T8_Beta,0.09460047632455826,0.09460047632455826
211-000540,NEUTRO,13,C4_Beta,0.08590859174728394,0.08590859174728394
211-000540,NEUTRO,14,AlphaAsym_FC6-FC5,-0.08118057996034622,0.08118057996034622
211-000540,NEUTRO,15,FC1_Beta,0.07503393292427063,0.07503393292427063
211-000540,SAD,1,O2_Beta,0.6247760653495789,0.6247760653495789
211-000540,SAD,2,F5_Beta,0.43660593032836914,0.43660593032836914
211-000540,SAD,3,AF4_Beta,-0.37794366478919983,0.37794366478919983
211-000540,SAD,4,FT8_Beta,0.37598755955696106,0.37598755955696106
211-000540,SAD,5,AlphaAsym_CP6-CP5,0.37348514795303345,0.37348514795303345
211-000540,SAD,6,F5_Alpha,0.24757389724254608,0.24757389724254608
211-000540,SAD,7,Fp2_Beta,-0.241609588265419,0.241609588265419
211-000540,SAD,8,P2_Alpha,0.21234381198883057,0.21234381198883057
211-000540,SAD,9,F3_Alpha,0.17430329322814941,0.17430329322814941
