class_label,condition,channel,band,mean_abs_shap,mean_signed_shap,n_subjects
0,JOY,P2,Delta,0.0,0.0,23
0,JOY,P2,Theta,0.0,0.0,23
0,JOY,P2,Alpha,0.0010823331067694446,0.0006572415123232423,23
0,JOY,P2,Beta,0.008577501490306411,0.007860896060191781,23
0,JOY,P2,Gamma,0.0006684890839855805,0.00041636952496345637,23
0,JOY,PO4,Delta,0.0049970114347615705,0.0047753083715597645,23
0,JOY,PO4,Theta,0.004496353435652605,0.004453398144485829,23
0,JOY,PO4,Alpha,0.000479824763460125,0.0003765272875693429,23
0,JOY,PO4,Beta,0.02405414500334651,0.023458876780844524,23
0,JOY,PO4,Gamma,0.015208330969006546,0.014580352760777356,23
0,JOY,CP2,Delta,0.01190188667253568,0.011672736459289157,23
0,JOY,CP2,Theta,0.009238886243748301,0.008961905270960078,23
0,JOY,CP2,Alpha,0.004952596101006452,0.004537884378945481,23
0,JOY,CP2,Beta,0.055023394076157826,0.052774781607906544,23
0,JOY,CP2,Gamma,0.02320791725750556,0.02276081796871291,23
0,JOY,P6,Delta,0.00719584745312294,0.006812894796641418,23
0,JOY,P6,Theta,0.016088356059114108,0.01151191447809236,23
0,JOY,P6,Alpha,0.010080139307163831,0.008476426240638074,23
0,JOY,P6,Beta,0.022967480216740836,0.02249253760010086,23
0,JOY,P6,Gamma,0.001395940329672694,0.0010089613663058158,23
0,JOY,PO6,Delta,0.0,0.0,23
0,JOY,PO6,Theta,0.0,0.0,23
0,JOY,PO6,Alpha,0.004771449401383227,0.0043189578888009035,23
0,JOY,PO6,Beta,0.018333603791142464,0.017496318559920666,23
0,JOY,PO6,Gamma,0.016012886381240113,0.014807537668940288,23
0,JOY,CP6,Delta,0.0,0.0,23
0,JOY,CP6,Theta,0.003388964892693435,-0.0010509514415731607,23
0,JOY,CP6,Alpha,0.005899401199821207,-0.001720615521310434,23
0,JOY,CP6,Beta,0.025989450266929635,0.002293313310729477,23
0,JOY,CP6,Gamma,0.032999871000470075,-0.006030407300997582,23
0,JOY,C6,Delta,0.0034608778291650433,0.002124343305337588,23
0,JOY,C6,Theta,0.0036932527874851792,0.001679130769290842,23
0,JOY,C6,Alpha,0.004806002902633701,0.002778087711914085,23
0,JOY,C6,Beta,0.023302852275409906,0.01807512782388163,23
0,JOY,C6,Gamma,0.01769397771058434,-0.002268904555115681,23
0,JOY,PO8,Delta,0.005227589557991712,0.005162938814151988,23
0,JOY,PO8,Theta,0.01713819964589611,0.01703809699485019,23
0,JOY,PO8,Alpha,0.0028448479195198125,0.0025799839870179636,23
0,JOY,PO8,Beta,0.013223773189592615,0.0121532384565219,23
0,JOY,PO8,Gamma,0.025631225441403525,0.02233339034331044,23
0,JOY,PO7,Delta,0.0363982922720299,0.031006739542851432,23
0,JOY,PO7,Theta,0.03375227543495398,0.029593690950015173,23
0,JOY,PO7,Alpha,0.041337773237936436,0.03482087788705799,23
0,JOY,PO7,Beta,0.09990998293073516,0.08720286453889306,23
0,JOY,PO7,Gamma,0.09442895157328207,0.08491075810392419,23
0,JOY,P5,Delta,0.0,0.0,23
0,JOY,P5,Theta,0.002404816131263527,0.0015387929026720267,23
0,JOY,P5,Alpha,0.004197414087597414,0.0018054861644228655,23
0,JOY,P5,Beta,0.0015832193135989479,0.0005239489528151217,23
0,JOY,P5,Gamma,0.0,0.0,23
0,JOY,CP5,Delta,0.0,0.0,23
0,JOY,CP5,Theta,0.005422756036490862,0.005196629225101497,23
0,JOY,CP5,Alpha,0.0025558054879422495,0.0022430313218138264,23
0,JOY,CP5,Beta,0.012740373466929845,0.008195021885017664,23
0,JOY,CP5,Gamma,0.0,0.0,23
0,JOY,CP1,Delta,0.00028601528361398617,0.0002615522083056816,23
0,JOY,CP1,Theta,0.00024033706102146826,0.00021962901317810698,23
0,JOY,CP1,Alpha,0.0,0.0,23
0,JOY,CP1,Beta,0.001090671958784312,0.0004698032083062526,23
