rank,subject_a,subject_b,mode,metric,score_a_to_b,score_b_to_a,compatibility,asymmetry,min_score,max_score,chance_improvement,accuracy_a_to_b,accuracy_b_to_a,f1_macro_a_to_b,f1_macro_b_to_a,rank_score
91,211-000537,211-000557,calibrated,f1_macro,0.3456654361562385,0.3104072595598019,0.3280363478580202,0.0352581765964366,0.3104072595598019,0.3456654361562385,-0.0052969854753130985,0.3834586466165413,0.3206106870229007,0.3456654361562385,0.3104072595598019,0.3104072595598019
92,211-000546,211-000549,calibrated,f1_macro,0.3193960511033681,0.3072658111984474,0.31333093115090777,0.012130239904920681,0.3072658111984474,0.3193960511033681,-0.02000240218242555,0.3381294964028777,0.2765957446808511,0.3193960511033681,0.3072658111984474,0.3072658111984474
93,211-000550,211-000553,calibrated,f1_macro,0.4456657530159795,0.3062290969899665,0.37594742500297296,0.13943665602601302,0.3062290969899665,0.4456657530159795,0.04261409166963964,0.4903846153846153,0.3333333333333333,0.4456657530159795,0.3062290969899665,0.3062290969899665
94,211-000533,211-000537,calibrated,f1_macro,0.3681353767560664,0.3008825427165253,0.33450895973629585,0.06725283403954108,0.3008825427165253,0.3681353767560664,0.0011756264029625374,0.4198473282442748,0.2681159420289855,0.3681353767560664,0.3008825427165253,0.3008825427165253
95,211-000539,211-000544,calibrated,f1_macro,0.2992232353934481,0.3226950354609929,0.3109591354272205,0.02347180006754479,0.2992232353934481,0.3226950354609929,-0.022374197906112836,0.3416666666666667,0.3484848484848485,0.2992232353934481,0.3226950354609929,0.2992232353934481
96,211-000539,211-000553,calibrated,f1_macro,0.4626580590748699,0.2980773441948057,0.3803677016348378,0.1645807148800642,0.2980773441948057,0.4626580590748699,0.04703436830150448,0.4711538461538461,0.2954545454545454,0.4626580590748699,0.2980773441948057,0.2980773441948057
97,211-000543,211-000554,calibrated,f1_macro,0.2964498496002002,0.330489475650766,0.3134696626254831,0.03403962605056576,0.2964498496002002,0.330489475650766,-0.019863670707850223,0.2992700729927007,0.3475177304964539,0.2964498496002002,0.330489475650766,0.2964498496002002
98,211-000532,211-000547,calibrated,f1_macro,0.2949972874525304,0.4587996808350046,0.3768984841437675,0.1638023933824742,0.2949972874525304,0.4587996808350046,0.04356515081043416,0.2986111111111111,0.4583333333333333,0.2949972874525304,0.4587996808350046,0.2949972874525304
99,211-000543,211-000544,calibrated,f1_macro,0.2942307692307692,0.315469464622007,0.3048501169263881,0.021238695391237794,0.2942307692307692,0.315469464622007,-0.028483216406945233,0.3,0.3687943262411347,0.2942307692307692,0.315469464622007,0.2942307692307692
100,211-000532,211-000545,calibrated,f1_macro,0.2933278191342707,0.4358360098242962,0.36458191447928345,0.14250819069002552,0.2933278191342707,0.4358360098242962,0.03124858114595014,0.3229166666666667,0.4375,0.2933278191342707,0.4358360098242962,0.2933278191342707
