class_label,condition,feature_idx,feature_name,feature_type,channel,band,pair,cluster,mean_abs_shap,std_abs_shap,mean_signed_shap,std_signed_shap,n_subjects
0,JOY,112,AF4_Alpha,bandpower,AF4,Alpha,,frontal_bilateral,0.011500749645804635,0.039978814239597114,0.00112754604037198,0.0037366906685011906,23
0,JOY,113,AF4_Beta,bandpower,AF4,Beta,,frontal_bilateral,0.04512683027003482,0.08266048499176638,0.019096022653127,0.04425906975143064,23
0,JOY,114,AF8_Alpha,bandpower,AF8,Alpha,,frontal_bilateral,0.036580055915695964,0.07582882198877482,0.020727041950772004,0.046580446824037045,23
0,JOY,115,AF8_Beta,bandpower,AF8,Beta,,frontal_bilateral,0.12534058964265332,0.1657337483036859,0.09806362691593336,0.16801034866690587,23
0,JOY,116,F5_Alpha,bandpower,F5,Alpha,,frontal_inferior_left,0.0006118226398380153,0.0029341983028115574,0.0005564932112302575,0.002668847684927593,23
0,JOY,117,F5_Beta,bandpower,F5,Beta,,frontal_inferior_left,0.053550939458702644,0.08962648229083335,0.04550660800503856,0.07995760752883019,23
0,JOY,118,AF7_Alpha,bandpower,AF7,Alpha,,frontal_bilateral,0.05460486121068055,0.1380605799679816,0.05140264464744205,0.13393471641044394,23
0,JOY,119,AF7_Beta,bandpower,AF7,Beta,,frontal_bilateral,0.20214776654112332,0.29138941140946906,0.17967091680038078,0.29013880734811576,23
0,JOY,120,AF3_Alpha,bandpower,AF3,Alpha,,frontal_bilateral,0.001993179749823376,0.00862350728502521,0.0004969375303352134,0.0016848503936869267,23
0,JOY,121,AF3_Beta,bandpower,AF3,Beta,,frontal_bilateral,0.024344166628625524,0.06439017547127243,0.01897843457033965,0.052090769147738296,23
0,JOY,122,Fpz_Alpha,bandpower,Fpz,Alpha,,frontal_bilateral,0.026883993569990855,0.08720853275576293,0.018194836807021452,0.0590616645207926,23
0,JOY,123,Fpz_Beta,bandpower,Fpz,Beta,,frontal_bilateral,0.09321672428260676,0.20959001198543561,0.07617282717859555,0.17601789162953177,23
0,JOY,124,AlphaAsym_Fp2-Fp1,AlphaAsym,,,Fp2-Fp1,,0.020111688044873073,0.05125881823683143,0.01040748009240264,0.026437309580488906,23
0,JOY,125,AlphaAsym_AF8-AF7,AlphaAsym,,,AF8-AF7,,0.056938387797051605,0.17676292193567003,0.05039186249554978,0.17450851463860098,23
0,JOY,126,AlphaAsym_AF4-AF3,AlphaAsym,,,AF4-AF3,,0.01569803358103843,0.049915489370634926,0.0073637837850690935,0.024657114477538263,23
0,JOY,127,AlphaAsym_F8-F7,AlphaAsym,,,F8-F7,,0.016609514045765585,0.0387151773558213,0.006328269999360622,0.016154437807670296,23
0,JOY,128,AlphaAsym_F6-F5,AlphaAsym,,,F6-F5,,0.03563623330210441,0.12237098022616691,0.02741696365059954,0.11716960730108902,23
0,JOY,129,AlphaAsym_F4-F3,AlphaAsym,,,F4-F3,,0.027923874334193126,0.0859383417616984,0.02042035315519744,0.06468126955242227,23
0,JOY,130,AlphaAsym_F2-F1,AlphaAsym,,,F2-F1,,0.00518978454255692,0.02488933230839556,0.002736907551302093,0.013125747510927202,23
0,JOY,131,AlphaAsym_FC6-FC5,AlphaAsym,,,FC6-FC5,,0.029225919408268127,0.06067972799252795,0.02035781440067618,0.046802664431909655,23
0,JOY,132,AlphaAsym_FC4-FC3,AlphaAsym,,,FC4-FC3,,0.09801954641450698,0.29728241287141366,0.08951484726916545,0.29712657960887146,23
0,JOY,133,AlphaAsym_FC2-FC1,AlphaAsym,,,FC2-FC1,,0.04786871803272756,0.1471395163254139,0.0319081863805138,0.11173956567453752,23
0,JOY,134,AlphaAsym_T8-T7,AlphaAsym,,,T8-T7,,0.011505127728867637,0.02374361053445932,0.004661052672489258,0.015970983012263525,23
0,JOY,135,AlphaAsym_C6-C5,AlphaAsym,,,C6-C5,,0.005359138361595703,0.02136840742917136,0.0021266400788104963,0.01247618205766698,23
0,JOY,136,AlphaAsym_C4-C3,AlphaAsym,,,C4-C3,,0.034084266609380375,0.10254803288015896,0.0267018059896841,0.0898696807567892,23
0,JOY,137,AlphaAsym_C2-C1,AlphaAsym,,,C2-C1,,0.014062062330518162,0.03702783607970051,0.007767458385698897,0.028099203656722437,23
0,JOY,138,AlphaAsym_TP8-TP7,AlphaAsym,,,TP8-TP7,,0.004495669635266115,0.01775531389305639,0.0018149748511449766,0.009066786272059865,23
0,JOY,139,AlphaAsym_CP6-CP5,AlphaAsym,,,CP6-CP5,,0.011185782102432465,0.03541494861836846,0.0077305639169916954,0.02828482858802134,23
0,JOY,140,AlphaAsym_CP4-CP3,AlphaAsym,,,CP4-CP3,,0.03809927921105293,0.1323226735788639,0.03413761304302729,0.13013663009683227,23
0,JOY,141,AlphaAsym_CP2-CP1,AlphaAsym,,,CP2-CP1,,0.01955530522156757,0.048201846842362374,0.01308095196929856,0.041439158275075015,23
0,JOY,142,AlphaAsym_P8-P7,AlphaAsym,,,P8-P7,,0.022099623834390666,0.09127943552226427,0.016955988234566295,0.08443588191047338,23
0,JOY,143,AlphaAsym_P6-P5,AlphaAsym,,,P6-P5,,0.024742608056613217,0.06945262347447415,0.014061138824441098,0.053916753053783545,23
