class_label,condition,channel,band,cluster,mean_abs_shap,mean_signed_shap,n_subjects
2,SAD,Cz,Beta,parietal_midline,0.04671734451005354,0.014189055403937154,23
2,SAD,FC4,Alpha,frontal_bilateral,0.026010555521469865,0.011370185825383473,23
2,SAD,FC4,Beta,frontal_bilateral,0.07568517170009849,0.05662356069075148,23
2,SAD,FT8,Alpha,temporal_right,0.04512685327766364,0.03897698121053179,23
2,SAD,FT8,Beta,temporal_right,0.1349137871945433,0.10294449787862671,23
2,SAD,TP7,Alpha,temporal_left,0.01572138511591926,0.005851875671934093,23
2,SAD,TP7,Beta,temporal_left,0.048098072291232974,0.015967194410289754,23
2,SAD,C3,Alpha,centro_parietal_left,0.005699327689516729,0.0018237395926711,23
2,SAD,C3,Beta,centro_parietal_left,0.016082313945972173,0.005451778338542835,23
2,SAD,FCz,Alpha,frontal_bilateral,0.051954825154835946,0.031095298310316877,23
2,SAD,FCz,Beta,frontal_bilateral,0.0466067969317052,0.028953598568958606,23
2,SAD,Fz,Alpha,frontal_bilateral,0.015194909234106766,0.00587143811308107,23
2,SAD,Fz,Beta,frontal_bilateral,0.01681014853238407,0.013013719263084226,23
2,SAD,F4,Alpha,frontal_bilateral,0.0054357494535182535,0.0023355471138343594,23
2,SAD,F4,Beta,frontal_bilateral,0.0344087899083406,0.016370957955968227,23
2,SAD,F8,Alpha,other,0.015741648947556558,0.010466825180329797,23
2,SAD,F8,Beta,other,0.04178652372627778,0.02194242572040858,23
2,SAD,T7,Alpha,temporal_left,0.015101069433264183,0.012605419367674134,23
2,SAD,T7,Beta,temporal_left,0.09471031889562216,0.06853168513466508,23
2,SAD,FT7,Alpha,temporal_left,0.02446631406550548,0.017356218992525388,23
2,SAD,FT7,Beta,temporal_left,0.03425785682882694,0.025721822689844943,23
2,SAD,FC3,Alpha,frontal_bilateral,0.011986230983939337,-0.0005700698654807159,23
2,SAD,FC3,Beta,frontal_bilateral,0.038195861095399214,0.019213107003773107,23
2,SAD,F3,Alpha,frontal_bilateral,0.007545976973803868,0.0069886419150480645,23
2,SAD,F3,Beta,frontal_bilateral,0.003520385469492696,0.0030925158732836916,23
2,SAD,Fp2,Alpha,frontal_bilateral,0.011200134863089923,0.005250450406153574,23
2,SAD,Fp2,Beta,frontal_bilateral,0.1289976863998653,0.10305102324803316,23
2,SAD,F7,Alpha,frontal_inferior_left,0.062309587383903485,0.03581324565607049,23
2,SAD,F7,Beta,frontal_inferior_left,0.04515221824831619,0.03890714132459657,23
2,SAD,Fp1,Alpha,frontal_bilateral,0.07048537906094707,0.068543783685645,23
2,SAD,Fp1,Beta,frontal_bilateral,0.0784390640473276,0.06017806124674105,23
2,SAD,PO5,Alpha,other,0.051808133763970955,0.042705214631927536,23
2,SAD,PO5,Beta,other,0.08794606917568372,0.06650500142783725,23
2,SAD,PO3,Alpha,occipital,0.017493858921553387,0.014415188900988085,23
2,SAD,PO3,Beta,occipital,0.09827129975431646,0.06607114562280261,23
2,SAD,P1,Alpha,other,0.01592325566619599,0.006090829600330533,23
2,SAD,P1,Beta,other,0.03537046959300231,0.018604818207582523,23
2,SAD,POz,Alpha,occipital,0.020142513411391002,0.004581019168305618,23
